id,secteur,hook_ou_angle,texte_publicitaire,call_to_action
12,Sport & Loisirs,Communauté - Rejoindre le Mouvement,Faites partie de la communauté. Notre application de yoga connecte des milliers de pratiquants à travers le monde. Cours en direct et programmes personnalisés.,Commencer Ma Pratique
13,Mode & Vêtements,Personnalisation - Style Unique,"Créez un bijou qui vous ressemble. Personnalisez nos colliers avec vos initiales, une date ou un symbole qui vous est cher.",Créer Mon Bijou
14,Électronique,Innovation - Technologie de Pointe,Le futur est là. Notre nouvelle montre connectée intègre un capteur ECG et une autonomie de 7 jours. Suivez votre santé comme jamais auparavant.,Précommander Maintenant
15,Maison & Jardin,Ambiance - Créer un Cocon,Transformez votre maison en un havre de paix. Nos bougies parfumées aux huiles essentielles naturelles créent une atmosphère relaxante et chaleureuse.,Trouver Votre Parfum
16,Beauté & Bien-être,Bénéfice Émotionnel - Confiance en Soi,Sentez-vous irrésistible. Notre nouveau parfum signature est une composition audacieuse de jasmin et de bois de santal pour révéler votre confiance.,Osez le Nouveau Parfum
17,Mode & Vêtements,Preuve Sociale - Vu dans la Presse,"Le manteau de la saison, approuvé par les stylistes. Repéré dans les magazines de mode, c'est la pièce indispensable de l'hiver.",Adopter le Look
18,Électronique,Garantie - Achat Sans Risque,Achetez en toute confiance. Tous nos produits sont garantis 2 ans et vous bénéficiez de 30 jours d'essai pour être totalement satisfait.,Acheter Sans Risque
19,Maison & Jardin,Écologie - Geste pour la Planète,Décorez votre intérieur tout en protégeant la planète. Nos tapis sont fabriqués à partir de bouteilles en plastique recyclées. Style et durabilité.,Choisir un Tapis Éco-responsable
20,Beauté & Bien-être,Urgence - Stock Limité,"Vite, il n'y en aura pas pour tout le monde! Notre coffret best-seller en édition de Noël est presque épuisé.",Obtenir le Mien
21,Alimentation & Boissons,Bénéfice Santé - Mieux Manger,"Nourrissez votre corps. Nos snacks sont riches en protéines, faibles en sucre et faits avec des ingrédients complets. L'encas parfait sans culpabilité.",Grignoter Malin
22,Sport & Loisirs,Problème/Solution - Entraînement à Domicile,"Plus d'excuses pour ne pas faire de sport. Notre kit d'élastiques de résistance vous permet un entraînement complet du corps, n'importe où, n'importe quand.",S'entraîner à la Maison
23,Mode & Vêtements,Proposition de Valeur - Luxe Accessible,"Le luxe n'est plus inatteignable. Découvrez nos sacs en cuir italien, fabriqués dans les mêmes ateliers que les grandes marques, à un prix juste.",S'offrir le Luxe
24,Électronique,Simplicité - Utilisation Intuitive,La technologie ne devrait pas être compliquée. Notre thermostat intelligent s'installe en 15 minutes et apprend vos habitudes pour économiser de l'énergie sans effort.,Simplifiez Votre Quotidien
25,Maison & Jardin,Personnalisation - Décor à Votre Image,"Votre mur, votre histoire. Téléchargez vos photos et créez une galerie murale personnalisée qui raconte vos plus beaux souvenirs.",Créer Ma Galerie
26,Beauté & Bien-être,Innovation - Routine de Soin Intelligente,Révolutionnez votre routine beauté. Notre appareil d'analyse de peau connecté vous recommande les produits exacts dont vous avez besoin chaque jour.,Obtenir Mon Diagnostic Peau
27,Alimentation & Boissons,Preuve Sociale - Recommandé par les Chefs,"Le secret des grands chefs, enfin chez vous. Notre huile d'olive extra vierge est utilisée et recommandée par les plus grands noms de la gastronomie.",Cuisiner comme un Chef
28,Sport & Loisirs,Urgence - Inscription Prochaine,Les places sont limitées! Inscrivez-vous à notre challenge de fitness de 30 jours avant la fermeture des inscriptions ce vendredi.,Réserver Ma Place
29,Mode & Vêtements,Bénéfice Émotionnel - Confort Absolu,Le confort n'a jamais été aussi élégant. Notre pantalon en cachemire et modal est si doux que vous ne voudrez plus jamais le quitter.,Plongez dans la Douceur
30,Électronique,Bénéfice Principal - Autonomie Longue Durée,Ne tombez plus jamais en panne de batterie. Notre power bank ultra-compacte peut recharger votre smartphone jusqu'à 3 fois. L'accessoire indispensable.,Rester Connecté
31,Maison & Jardin,Nouveauté - Tendance Déco,"Adoptez la dernière tendance déco. Le style ""Japandi"" s'invite chez vous avec notre nouvelle collection de mobilier épuré en bois clair et aux lignes minimalistes.",Suivre la Tendance
32,Beauté & Bien-être,Problème/Solution - Sommeil Réparateur,Des nuits difficiles? Notre brume d'oreiller à la lavande et à la camomille est cliniquement prouvée pour vous aider à vous endormir plus vite et à mieux dormir.,Retrouver le Sommeil
33,Alimentation & Boissons,Proposition de Valeur - Abonnement Flexible,"La liberté de bien manger. Notre abonnement de box de légumes bio est sans engagement. Mettez en pause, modifiez ou annulez à tout moment.",Démarrer Mon Abonnement
34,Sport & Loisirs,Bénéfice Principal - Équipement Polyvalent,"Un seul équipement, des dizaines d'exercices. Le kettlebell est l'outil parfait pour développer force, endurance et cardio. Idéal pour un entraînement efficace.",Découvrir la Polyvalence
35,Mode & Vêtements,Écologie - Mode Circulaire,Donnez une seconde vie à la mode. Achetez et vendez des pièces de créateurs de seconde main sur notre plateforme. Un choix chic et responsable.,Rejoindre la Mode Circulaire
36,Électronique,Preuve Sociale - Choix des Experts Tech,"Élu ""Meilleur ordinateur portable de l'année"" par les critiques tech. Puissance, design et autonomie exceptionnels réunis dans un châssis ultra-fin.",Voir le Test des Experts
37,Maison & Jardin,Simplicité - Jardinage pour Débutants,Vous n'avez pas la main verte? Nos kits de plantes d'intérieur sont livrés avec des instructions simples et tout le nécessaire pour réussir à coup sûr.,Devenir Jardinier
38,Beauté & Bien-être,Personnalisation - Teinte sur Mesure,"Trouvez enfin votre teinte de fond de teint parfaite. Notre technologie d'IA analyse votre carnation pour créer une formule sur mesure, rien que pour vous.",Trouver Ma Teinte Parfaite
39,Alimentation & Boissons,Exclusivité - Vente Privée,"Accès exclusif. En tant que membre, découvrez notre sélection de vins de prestige en avant-première et bénéficiez de tarifs préférentiels.",Accéder à la Vente Privée
40,Sport & Loisirs,Garantie - Résultats ou Remboursé,"Nous sommes si confiants dans notre programme que nous offrons une garantie ""satisfait ou remboursé"". Atteignez vos objectifs ou ne payez rien.",Commencer Sans Risque
